cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/gemm/igemm/igemm_tiled.imma_s04.sm_86.cubin,igemm_tiled,608,0,16,4,32,14,0,14,16,0,0,33,0,0,0,61,79,47,25,24,2,2,0,4,12,10,213,8.1
kernels/gemm/igemm/igemm_tiled.sm_86.cubin,igemm_tiled,608,0,16,4,32,14,0,14,16,0,0,33,0,0,0,61,79,47,25,24,2,2,0,4,12,10,213,8.1
kernels/gemm/igemm/igemm_8warp_256x256.imma_s02.sm_86.cubin,igemm_8warp_256x256,6448,0,256,16,480,256,32,96,224,0,0,225,0,0,0,720,1119,394,281,290,2,2,0,32,78,57,1888,7.5
kernels/gemm/igemm/igemm_8warp_256x256.imma_s04.sm_86.cubin,igemm_8warp_256x256,6448,0,256,16,480,256,32,96,224,0,0,225,0,0,0,720,1119,394,281,290,2,2,0,32,78,57,1888,7.5
kernels/gemm/igemm/igemm_8warp_256x256.sm_86.cubin,igemm_8warp_256x256,6448,0,256,16,480,256,32,96,224,0,0,225,0,0,0,720,1119,394,281,290,2,2,0,32,78,57,1888,7.5
kernels/gemm/igemm/igemm_persistent.sm_86.cubin,igemm_persistent,3256,0,128,8,369,161,24,72,112,0,0,113,0,1,0,296,567,268,82,149,1,4,0,17,44,19,821,7.4
kernels/convolution/conv2d/conv2d.sm_86.cubin,conv2d_1x1_nhwc,448,0,0,0,31,7,0,39,1,31,0,0,0,0,0,29,96,39,10,24,2,2,0,0,12,9,116,6.9
kernels/gemm/igemm/igemm_8warp_tribuf.imma_s02.sm_86.cubin,igemm_8warp_tribuf,2736,0,128,16,312,128,24,72,56,0,0,57,0,0,0,343,493,198,76,116,2,5,0,8,27,15,660,6.8
kernels/gemm/igemm/igemm_8warp_tribuf.imma_s04.sm_86.cubin,igemm_8warp_tribuf,2736,0,128,16,312,128,24,72,56,0,0,57,0,0,0,343,493,198,76,116,2,5,0,8,27,15,660,6.8
kernels/gemm/igemm/igemm_8warp_tribuf.sm_86.cubin,igemm_8warp_tribuf,2736,0,128,16,312,128,24,72,56,0,0,57,0,0,0,343,493,198,76,116,2,5,0,8,27,15,660,6.8
